ZD001_SYS	销售收款账单
ZD002_SYS	销售退款账单
ZD003_SYS	销售佣金账单
ZD004_SYS	销售费用账单
NBZHTZDLX01_SYS	内部账户付款调整单
NBZHTZDLX02_SYS	内部账户收款调整单
XJZZD01_SYS	现金转账单
JYD008_SYS	生产线检验
XJD01_SYS	标准询价单
MRBPSD001_SYS	来料检验MRB评审单
SCPBJ001_SYS	标准报价单
FYZZSFP01_SYS	进项费用增值税发票
SVMBJD01_SYS	标准比价单
SCTK01_SYS	生产退库
GXBLP02_SYS	返修
QCTLD01_SYS	期初采购退料单
QCTLD02_SYS	期初委外退料单
XJD02_SYS	直运询价单
XJD03_SYS	资产询价单
XJD04_SYS	费用询价单
XJD05_SYS	VMI询价单
SCDD08_SYS	柔性工序汇报入库-普通生产
SCTLD02_SYS	倒冲生产退料
BLPCL003_SYS	产品检验不良品处理单
BLPCL004_SYS	自制工序检验不良品处理单
SEXINV001_SYS	销项费用普通发票
SEXVATIN001_SYS	销项费用增值税发票
JDSCTK01_SYS	简单生产退库
SLD03_SYS	委外收料单
YMZGYFD01_SYS	月末暂估应付单
O2ODJD	O2O预订单
YDFKD	预订付款单
SKJSD01_SYS	收款结算单
FKJSD01_SYS	付款结算单
WSDD03_SYS	BBC企业订单
WSDD04_SYS	BBC配件订单
CMK_RSM_StoreRequestSta	标准门店要货单
BBCTHSQD01_SYS	BBC企业商品退货申请单
BBCTHSQD02_SYS	BBC企业保内配件退货申请单
BBCTHSQD03_SYS	BBC企业保外配件退货申请单
THTZD03_SYS	BBC退货通知单
XSTHD08_SYS	BBC销售退货单
YSBB01_SYS	预算报表
JKLXD01_SYS	外部借款利息单
WWCYFT01_SYS	标准差异分摊
GCBGSQ01_SYS	工程变更申请单
TLD01_SYS	标准退料单
LYZXJNBJSD01_SYS	利润中心间内部结算单
WWCHD01_SYS	委外超耗单
XCYCCLD01_SYS	标准处理单
JDSCLL02_SYS	VMI简单生产领料
JDSCTL02_SYS	VMI简单生产退料
JYD009_SYS	受托材料检验单
STCLSL01_SYS	标准受托加工材料收料单
SKDLX06_SYS	保证金收款单
SKTKDLX03_SYS	保证金退款单
SCPSHTZD01_SYS	供应商协同送货通知单
SCYMZZZY01_SYS	生产月末在制转移
SCPXJD01_SYS	供应商协同询价单
SCPBJD01_SYS	供应商协同报价单
SCPCGDD01_SYS	供应商协同采购订单
SCPBGD01_SYS	供应商协同采购订单变更单
SCPCGRKD01_SYS	供应商协同采购入库单
